شناسه,نوع,شناسه محصول,نام,منتشر شده,ویژه است؟,کلاس مالیاتی,در انبار؟,انبار,قیمت اصلی,دسته‌ها,مادر,موقعیت قرارگیری,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,ویژگی پیشفرض,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,وزن,درازا (cm),پهنا (cm),بلندا (cm),Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
4675,variable,2640001,پاکت زباله پاندا,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,مشکی,1,1,مشکی,brand,×,1,1,90,55,70,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46751,variation,2640001-01,پاکت زباله پاندا - مشکی,1,0,parent,1,10,1600,,2640001,1,رنگ,مشکی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4676,simple,2640101,پاکت فریزر آسان مصرف پارس,1,0,,1,10,14000,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,2640101,0,,,1,1,,,1,1,,brand,×,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4677,simple,2640102,پاکت فریزر ساده شیلان,1,0,,1,10,2100,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,2640102,0,,,1,1,,,1,1,,brand,×,1,1,30,25,35,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4679,simple,2640104,پاکت فریزر اران,1,0,,1,10,1000,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,2640104,0,,,1,1,,,1,1,,brand,×,1,1,230,35,25,,ظرفیت,200عدد,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4682,variable,2640120,پاکت فریزر رولی آران 200 برگ,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,سفید,1,1,سفید,brand,×,1,1,230,35,25,,ظرفیت,200برگ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46821,variation,2640120-01,پاکت فریزر رولی اران 200 برگ - سفید,1,0,parent,1,10,12200,,2640120,1,رنگ,سفید,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4683,simple,2640122,پاکت فریزر پاکلند 33 × 22,1,0,,1,10,4600,,2640122,0,,,1,1,,,1,1,,brand,×,1,1,80,22,33,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4684,variable,2644402,پاکت زباله میلان 3عددی نگین - سیمین,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,آبی,1,1,آبی,brand,×,1,1,250,65,90,,ظرفیت,3عدد,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46841,variation,2644402-01,پاکت زباله میلان 3عددی نگین - سیمین - آبی,1,0,parent,1,10,11800,,2644402,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4695,variable,4328101,طناب کنفی 10 یاردی,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,"صورتی پاستیلی, سفید",1,1,صورتی پاستیلی,brand,×,1,1,75,1000,,,ظرفیت,ˣ,1,1,جنس,کنف,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46951,variation,4328101-01,طناب کنفی 10 یاردی - صورتی پاستیلی,1,0,parent,1,10,8100,,4328101,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46952,variation,4328101-02,طناب کنفی 10 یاردی - سفید,1,0,parent,1,10,8100,,4328101,2,رنگ,سفید,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4703,variable,4917103,زباله لندنی پارس,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,لیمویی,1,1,لیمویی,brand,×,1,1,150,55,70,,ظرفیت,20عددی,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47031,variation,4917103-01,زباله لندنی پارس - لیمویی,1,0,parent,1,10,6100,,4917103,1,رنگ,لیمویی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4706,variable,4940101,سفره یکبار مصرف پاکلند,1,0,,1,,,سایر لوازم خانگی > سفره دستکش لوازم یکبار مصرف,,0,,,1,1,رنگ,سفید,1,1,سفید,brand,×,1,1,350,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47061,variation,4940101-01,سفره یکبار مصرف پاکلند - سفید,1,0,parent,1,10,9900,,4940101,1,رنگ,سفید,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4717,variable,215604,درب آویز سوین 4 شاخ لوکس,1,0,,1,,,سایر لوازم خانگی > چوب لباس جا لباسی,,0,,,1,1,رنگ,نقره ای,1,1,نقره ای,brand,سوين,1,1,230,30,16.5,,ظرفیت,4شاخ,1,1,جنس,فلز استیل,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47171,variation,0215604-01,درب آویز سوین 4 شاخ لوکس - نقره ای,1,0,parent,1,10,32900,,215604,1,رنگ,نقره ای,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4718,variable,215606,درب آویز سوین 6 شاخ,1,0,,1,,,سایر لوازم خانگی > چوب لباس جا لباسی,,0,,,1,1,رنگ,نقره ای,1,1,نقره ای,brand,سوين,1,1,330,48,16.5,,ظرفیت,6شاخ,1,1,جنس,فلز استیل,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47181,variation,0215606-01,درب آویز سوین 6 شاخ - نقره ای,1,0,parent,1,10,25600,,215606,1,رنگ,نقره ای,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4721,variable,7345301,سر پیک نیک معمولی بزرگ,1,0,,1,,,سایر لوازم خانگی > سفر و پیک نیک > پیک نیک,,0,,,1,1,رنگ,نقره ای,1,1,نقره ای,brand,شيدا,1,1,340,21,5,,ظرفیت,ˣ,1,1,جنس,فلز,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47211,variation,7345301-01,سر پیک نیک معمولی بزرگ - نقره ای,1,0,parent,1,10,22500,,7345301,1,رنگ,نقره ای,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4722,variable,7345302,سر پیک نیک معمولی کوچک,1,0,,1,,,,,0,,,1,1,رنگ,نقره ای,1,1,نقره ای,brand,شيدا,1,1,210,14,5,,ظرفیت,ˣ,1,1,جنس,فلز,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47221,variation,7345302-01,سر پیک نیک معمولی کوچک - نقره ای,1,0,parent,1,10,18100,,7345302,1,رنگ,نقره ای,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4723,variable,7361001,پیک نیک شیدا 1 کیلو,1,0,,1,,,سایر لوازم خانگی > سفر و پیک نیک > پیک نیک,,0,,,1,1,رنگ,"آبی, قرمز, مشکی",1,1,قرمز,brand,شيدا,1,1,1830,12,12,25,ظرفیت,ˣ,1,1,جنس,فلز,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47231,variation,7361001-01,پیک نیک شیدا 1 کیلو - آبی,1,0,parent,1,10,187000,,7361001,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47232,variation,7361001-02,پیک نیک شیدا 1 کیلو - قرمز,1,0,parent,1,10,187000,,7361001,2,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47233,variation,7361001-03,پیک نیک شیدا 1 کیلو - مشکی,1,0,parent,1,10,187000,,7361001,3,رنگ,مشکی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4724,variable,7361002,پیک نیک شیدا 2.5 کیلو,1,0,,1,,,سایر لوازم خانگی > سفر و پیک نیک > پیک نیک,,0,,,1,1,رنگ,"آبی, قرمز, مشکی",1,1,قرمز,brand,شيدا,1,1,4380,21,21,32,ظرفیت,ˣ,1,1,جنس,فلز,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47241,variation,7361002-01,پیک نیک شیدا 2.5 کیلو - آبی,1,0,parent,1,10,267000,,7361002,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47242,variation,7361002-02,پیک نیک شیدا 2.5 کیلو - قرمز,1,0,parent,1,10,267000,,7361002,2,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47243,variation,7361002-03,پیک نیک شیدا 2.5 کیلو - مشکی,1,0,parent,1,10,267000,,7361002,3,رنگ,مشکی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4725,variable,7361003,پیک نیک شیدا 3.5 کیلو,1,0,,1,,,سایر لوازم خانگی > سفر و پیک نیک > پیک نیک,,0,,,1,1,رنگ,"آبی, قرمز, مشکی",1,1,قرمز,brand,شيدا,1,1,4870,21,21,42,ظرفیت,ˣ,1,1,جنس,فلز,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47251,variation,7361003-01,پیک نیک شیدا 3.5 کیلو - آبی,1,0,parent,1,10,285000,,7361003,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47252,variation,7361003-02,پیک نیک شیدا 3.5 کیلو - قرمز,1,0,parent,1,10,285000,,7361003,2,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47253,variation,7361003-03,پیک نیک شیدا 3.5 کیلو - مشکی,1,0,parent,1,10,285000,,7361003,3,رنگ,مشکی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4726,variable,7361005,پیک نیک شیدا 5 کیلو,1,0,,1,,,سایر لوازم خانگی > سفر و پیک نیک > پیک نیک,,0,,,1,1,رنگ,"آبی, قرمز, مشکی",1,1,قرمز,brand,شيدا,1,1,3600,20,20,27,ظرفیت,ˣ,1,1,جنس,فلز,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
47261,variation,7361005-01,پیک نیک شیدا 5 کیلو - آبی,1,0,parent,1,10,304000,,7361005,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47262,variation,7361005-02,پیک نیک شیدا 5 کیلو - قرمز,1,0,parent,1,10,304000,,7361005,2,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
47263,variation,7361005-03,پیک نیک شیدا 5 کیلو - مشکی,1,0,parent,1,10,304000,,7361005,3,رنگ,مشکی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4624,,9729903,فایل سپنتا 703 ساده,1,0,,1,0,145500,,9729903,0,,ساده,1,1,رنگ,,1,1,,brand,سپنتا,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4625,,9729904,فایل سپنتا 704 ساده,1,0,,1,0,188500,,9729904,0,,ساده,1,1,رنگ,,1,1,,brand,سپنتا,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4626,,9729905,فایل سپنتا 705 ساده,1,0,,1,0,219900,,9729905,0,,ساده,1,1,رنگ,,1,1,,brand,سپنتا,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4627,,9729914,فایل سپنتا 604 عروسکی,1,0,,1,0,199000,,9729914,0,,عروسکي,1,1,رنگ,,1,1,,brand,سپنتا,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4628,,9729924,فایل سپنتا 504  چوبی,1,0,,1,0,199000,,9729924,0,,چوب,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4630,,31805,قمقمه انگشتی پلاستیکی,1,0,,1,0,4600,,31805,0,,پلاستيکي,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4634,,3331807,قمقمه سرحد دانش اموز,1,0,,1,0,17500,,3331807,0,,اموز,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4635,,3331808,قمقمه سرحد منیوم,1,0,,1,0,23000,,3331808,0,,منيوم,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4636,,3331809,قمقمه سرحد پت نی دار,1,0,,1,0,31000,,3331809,0,,دار,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4637,,3336801,نهاربری سرحد 2 طبقه گرد,1,0,,1,0,27500,,3336801,0,,گرد,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4638,,3336802,نهاربری سرحد 2 طبقه 4 قفل,1,0,,1,0,42000,,3336802,0,,قفل,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4639,,3336803,نهاربری سرحد صندوقی,1,0,,1,0,27500,,3336803,0,,صندوقي,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4640,,3355301,لیوان سرحد مخروطی نی دار,1,0,,1,0,11000,,3355301,0,,دار,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4641,,3355303,لیوان سرحد میکی و انگری,1,0,,1,0,10200,,3355303,0,,انگري,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4642,,3355304,لیوان سرحد باب اسفنجی,1,0,,1,0,9900,,3355304,0,,اسفنجي,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4644,,3355307,لیوان سرحد کتابی نی دار,1,0,,1,0,8200,,3355307,0,,دار,1,1,رنگ,,1,1,,brand,سرحد,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4651,,728010,طناب 10 (10متری),1,0,,1,0,30000,,728010,0,,متري),1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4652,,728107,طناب سیمی 10 متری,1,0,,1,0,11000,,728107,0,,متري,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4653,,728108,طناب سیمی 20 متری,1,0,,1,0,14500,,728108,0,,متري,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4658,,1217101,زباله لندنی رافونه جعبه ای,1,0,,1,0,10500,,1217101,0,,اي,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4659,,1217102,زباله لندنی رافونه 50 × 70,1,0,,1,0,7200,,1217102,0,,رافونه 50×70,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4660,,1240002,پاکت زباله رافونه بند دار,1,0,,1,0,11700,,1240002,0,,بنددار,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4661,,1240003,پاکت زباله رافونه 3 رول,1,0,,1,0,13200,,1240003,0,,رول,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4662,,1240040,پاکت زباله رافونه اداری 40 × 50,1,0,,1,0,7900,,1240040,0,,اداري40×50,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4663,,1240112,پاکت فریزر رافونه جعبه ای 120 برگ,1,0,,1,0,6900,,1240112,0,,برگ,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4664,,1240122,پاکت فریزر رافونه رولی 120 برگ,1,0,,1,0,8500,,1240122,0,,برگ,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4665,,1240125,پاکت فریزر رافونه 250 عددی,1,0,,1,0,12400,,1240125,0,,عددي,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4667,,1646503,سفره طاقه ای پشت کرک ژاپن,1,0,,1,0,2630000,,1646503,0,,ژاپن,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4668,,1646601,سفره متری پشت کرک ژاپن,1,0,,1,0,135000,,1646601,0,,ژاپن,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4672,,2624404,سفره یکبار رنگین نقره کوب پلاستیکی,1,0,,1,0,17200,,2624404,0,,پلاستيکي,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4678,,2640103,پاکت فریزر چسبی شیلان,1,0,,1,0,2900,,2640103,0,,شيلان,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4680,,2640106,پاکت فریزر چسبی نگین گلنوش سجاد 100 عددی,1,0,,1,0,5600,,2640106,0,,عددي,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4681,,2640107,پاکت فریزر اسان مصرف پنگوئن,1,0,,1,0,17000,,2640107,0,,پنگوئن,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4685,,2646501,سفره طاقه ای پشت کرک 8 نفره,1,0,,1,0,2250000,,2646501,0,,نفره,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4686,,2646502,سفره طاقه ای 1متر انتیک,1,0,,1,0,890600,,2646502,0,,انتيک,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4687,,2646504,سفره طاقه ای گیپور طرح زاپن,1,0,,1,0,1500000,,2646504,0,,زاپن,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4688,,2646601,سفره متری طرح ژاپن,1,0,,1,0,75000,,2646601,0,,ژاپن,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4689,,2646602,سفره متری طرح چرم و گلدار براق,1,0,,1,0,50000,,2646602,0,,براق,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4690,,2646606,سفره متری پشت کرک 8 نفره,1,0,,1,0,225000,,2646606,0,,نفره,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4691,,2648001,لب استخری ترک,1,0,,1,0,1160000,,2648001,0,,ترک,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4692,,2648002,لب استخری متری ترک,1,0,,1,0,85000,,2648002,0,,ترک,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4693,,3224401,سفره یکبار مصرف الینا بزرگ 400 گرم,1,0,,1,0,8700,,3224401,0,,کيان بزرگ 400گرم,1,1,رنگ,,1,1,,brand,سفره،طناب،پاکت فريزر و ...,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
